Sample_ID	PLATE	PRIMER	BAR_CODE_ID	Animal_ID	Breed	DOB	Initial	Days_from_birth	Sex	Hide	Mask_given1	Treat_assign1	Treat_given1	Trt_date1	Treat_group1	Mask_given2	Treat_assign2	Treatment	Trtment_date2	Treat_group2	Time	Date_swabbed	Invitro_growth	Group	infected	Ulcer_positive	Age_group	Type	Run	Missed	ELISA	Eye_sampled	Elisa_Concentration
171	2	2	171	8105F	Angus	3/7/18	5/16/18	70	B	B	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_6	Out	NONE	L	NONE
172	2	2	172	8215F	Simmental	4/3/18	5/16/18	43	B	B	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	Pre IBK Treatment	Before	G3	sample_control	seq_6	Keep	NONE	L	NONE
173	2	2	173	8010F	Simmental	2/16/18	5/16/18	89	B	R	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_6	Out	NONE	L	NONE
174	2	2	174	8155F	Simmental	3/14/18	5/16/18	63	H	R	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G2	sample_control	seq_6	Out	YES	L	0.312032
175	2	2	175	8090F	Angus	3/5/18	5/16/18	72	B	B	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovoculi	1_4_period	NONE	NONE	G1	sample_control	seq_6	Out	NONE	L	NONE
176	2	2	176	8018F	Angus	2/19/18	5/16/18	86	B	B	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_6	Out	NONE	L	NONE
177	2	2	177	8095F	Simmental	3/6/18	5/16/18	71	H	R	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_6	Out	NONE	L	NONE
178	2	2	178	8024F	Simmental	2/21/18	5/16/18	84	H	B	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_6	Out	NONE	L	NONE
179	2	2	179	8027F	Simmental	2/22/18	5/16/18	83	B	B	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_6	Out	YES	L	0.3301539
180	2	2	180	8049F	Angus	3/1/18	5/16/18	76	B	B	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_6	Keep	NONE	L	NONE
181	2	2	181	8151F	Simmental	3/13/18	5/16/18	64	H	R	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G2	sample_control	seq_6	Out	NONE	L	NONE
182	2	2	182	8015F	Simmental	2/17/18	5/16/18	88	B	B	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_6	Out	NONE	L	NONE
183	2	2	183	8165F	Angus	3/14/18	5/16/18	63	B	B	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G2	sample_control	seq_6	Out	NONE	L	NONE
184	2	2	184	8002F	Angus	2/12/18	5/16/18	93	B	B	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_6	Out	NONE	L	NONE
185	2	2	185	8008F	Simmental	2/16/18	5/16/18	89	H	B	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_6	Keep	NONE	L	NONE
186	2	2	186	8087F	Simmental	3/5/18	5/16/18	72	B	B	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_6	Keep	NONE	L	NONE
187	2	2	187	8084F	Simmental	3/4/18	5/16/18	73	H	B	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_6	Out	NONE	L	NONE
188	2	2	188	8031F	Simmental	2/25/18	5/16/18	80	B	B	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovoculi	1_4_period	Pre IBK Treatment	Before	G1	sample_control	seq_6	Keep	NONE	L	NONE
189	2	2	189	8014F	Simmental	2/17/18	5/16/18	88	B	B	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovoculi	1_4_period	NONE	NONE	G1	sample_control	seq_6	Out	NONE	L	NONE
190	2	2	190	8051F	Simmental	3/1/18	5/16/18	76	B	B	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_6	Out	NONE	L	NONE
191	2	2	191	8099F	Simmental	3/6/18	5/16/18	71	B	B	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_6	Out	NONE	L	NONE
192	2	2	192	8131F	Simmental	3/9/18	5/16/18	68	B	B	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_6	Keep	NONE	L	NONE
193	3	3	193	8195F	Simmental	3/27/18	5/16/18	50	H	B	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G2	sample_control	seq_6	Out	NONE	L	NONE
194	3	3	194	8112F	Simmental	3/7/18	5/16/18	70	H	B	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovoculi	1_4_period	NONE	NONE	G1	sample_control	seq_6	Out	NONE	L	NONE
195	3	3	195	8005F	Angus	2/15/18	5/16/18	90	H	B	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_6	Keep	NONE	L	NONE
196	3	3	196	8104F	Angus	3/6/18	5/16/18	71	B	B	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_6	Out	YES	L	0.3224578
197	3	3	197	8058F	Simmental	3/2/18	5/16/18	75	B	R	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_6	Out	NONE	L	NONE
198	3	3	198	8032F	Simmental	2/26/18	5/16/18	79	H	B	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_6	Out	NONE	L	NONE
199	3	3	199	8016F	Simmental	2/17/18	5/16/18	88	H	R	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_6	Out	NONE	L	NONE
200	3	3	200	8074F	Angus	3/3/18	5/16/18	74	B	B	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_6	Out	NONE	L	NONE
201	3	3	201	8217F	Simmental	4/4/18	5/16/18	42	B	B	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G3	sample_control	seq_6	Out	NONE	L	NONE
202	3	3	202	8226F	Simmental	4/11/18	5/16/18	35	H	B	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G3	sample_control	seq_6	Keep	NONE	L	NONE
203	3	3	203	8082F	Simmental	3/4/18	5/16/18	73	H	R	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_6	Out	NONE	L	NONE
204	3	3	204	8203F	Simmental	3/29/18	5/16/18	48	H	R	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G3	sample_control	seq_6	Out	NONE	L	NONE
205	3	3	205	8144F	Simmental	3/10/18	5/16/18	67	B	B	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_6	Out	NONE	L	NONE
206	3	3	206	8146F	Simmental	3/11/18	5/16/18	66	H	R	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovoculi	1_4_period	Pre IBK Treatment	Before	G1	sample_control	seq_6	Keep	NONE	L	NONE
207	3	3	207	8143F	Simmental	3/10/18	5/16/18	67	B	R	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovoculi	1_4_period	NONE	NONE	G1	sample_control	seq_6	Out	NONE	L	NONE
208	3	3	208	8059F	Angus	3/2/18	5/16/18	75	H	B	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_6	Out	NONE	L	NONE
209	3	3	209	8177F	Angus	3/21/18	5/16/18	56	B	B	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G2	sample_control	seq_6	Out	NONE	L	NONE
210	3	3	210	8113F	Simmental	3/8/18	5/16/18	69	B	B	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_6	Keep	NONE	L	NONE
211	3	3	211	8156F	Simmental	3/14/18	5/16/18	63	B	R	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovoculi	1_4_period	NONE	NONE	G2	sample_control	seq_6	Keep	NONE	L	NONE
212	3	3	212	8102F	Angus	3/6/18	5/16/18	71	B	B	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_6	Out	YES	L	0.3098107
213	3	3	213	8174F	Simmental	3/20/18	5/16/18	57	B	R	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G2	sample_control	seq_6	Keep	NONE	L	NONE
214	3	3	214	8204F	Simmental	3/29/18	5/16/18	48	H	R	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G3	sample_control	seq_6	Out	NONE	L	NONE
215	3	3	215	8122F	Simmental	3/8/18	5/16/18	69	H	R	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_6	Keep	NONE	L	NONE
216	3	3	216	8083F	Simmental	3/4/18	5/16/18	73	H	B	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_6	Out	NONE	L	NONE
217	3	3	217	8148F	Simmental	3/12/18	5/16/18	65	B	R	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_6	Keep	NONE	L	NONE
218	3	3	218	8227F	Simmental	4/11/18	5/16/18	35	B	R	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G3	sample_control	seq_6	Keep	NONE	L	NONE
219	3	3	219	8007F	Simmental	2/15/18	5/16/18	90	B	R	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_6	Out	NONE	L	NONE
220	3	3	220	8038F	Simmental	2/27/18	5/16/18	78	H	B	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_6	Out	NONE	L	NONE
221	3	3	221	8220F	Angus	4/5/18	5/16/18	41	B	B	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G3	sample_control	seq_6	Keep	NONE	L	NONE
222	3	3	222	8125F	Angus	3/9/18	5/16/18	68	B	B	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_6	Keep	NONE	L	NONE
223	3	3	223	8228F	Simmental	4/12/18	5/16/18	34	H	B	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G4	sample_control	seq_6	Out	NONE	L	NONE
224	3	3	224	8216F	Simmental	4/3/18	5/16/18	43	H	R	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G3	sample_control	seq_6	Keep	NONE	L	NONE
225	3	3	225	8023F	Simmental	2/21/18	5/16/18	84	H	B	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_6	Out	NONE	L	NONE
226	3	3	226	8076F	Simmental	3/4/18	5/16/18	73	B	B	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_6	Out	NONE	L	NONE
227	3	3	227	8168F	Simmental	3/19/18	5/16/18	58	H	R	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G2	sample_control	seq_6	Keep	NONE	L	NONE
228	3	3	228	8199F	Simmental	3/28/18	5/16/18	49	H	B	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovoculi	1_4_period	Pre IBK Treatment	Before	G3	sample_control	seq_6	Out	NONE	L	NONE
229	3	3	229	8159F	Simmental	3/15/18	5/16/18	62	H	R	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G2	sample_control	seq_6	Out	NONE	L	NONE
230	3	3	230	8121F	Simmental	3/8/18	5/16/18	69	B	B	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_6	Out	NONE	L	NONE
231	3	3	231	8071F	Simmental	3/3/18	6/6/18	95	B	R	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 2 (Post Perturbation- 21d)	6_6_18	BOTH	2_3_period	NONE	NONE	G1	sample_control	seq_6	Out	YES	R	0.3133724
232	3	3	232	8173F	Simmental	3/20/18	6/6/18	78	H	R	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 2 (Post Perturbation- 21d)	6_6_18	M_bovis_R	2_3_period	NONE	NONE	G2	sample_control	seq_6	Out	NONE	R	NONE
233	3	3	233	8188F	Simmental	3/23/18	6/6/18	75	B	R	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 2 (Post Perturbation- 21d)	6_6_18	M_bovis_R	2_3_period	NONE	NONE	G2	sample_control	seq_6	Out	NONE	R	NONE
234	3	3	234	8142F	Simmental	3/10/18	6/6/18	88	H	R	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 2 (Post Perturbation- 21d)	6_6_18	M_bovis_R	2_3_period	NONE	NONE	G1	sample_control	seq_6	Out	NONE	R	NONE
235	3	3	235	8010F	Simmental	2/16/18	6/6/18	110	B	R	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 2 (Post Perturbation- 21d)	6_6_18	NONE	2_3_period	NONE	NONE	G1	sample_control	seq_6	Out	NONE	R	NONE
236	3	3	236	8180F	Simmental	3/21/18	6/6/18	77	H	R	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 2 (Post Perturbation- 21d)	6_6_18	M_bovis_R	2_3_period	NONE	NONE	G2	sample_control	seq_6	Out	YES	R	0.3382798
237	3	3	237	8062F	Simmental	3/2/18	6/6/18	96	H	R	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 2 (Post Perturbation- 21d)	6_6_18	M_bovis_R	2_3_period	NONE	NONE	G1	sample_control	seq_6	Out	NONE	R	NONE
238	3	3	238	8058F	Simmental	3/2/18	6/6/18	96	B	R	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 2 (Post Perturbation- 21d)	6_6_18	BOTh	2_3_period	NONE	NONE	G1	sample_control	seq_6	Out	NONE	R	NONE
239	3	3	239	8091F	Simmental	3/5/18	6/6/18	93	B	R	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 2 (Post Perturbation- 21d)	6_6_18	M_bovoculi	2_3_period	NONE	NONE	G1	sample_control	seq_6	Out	NONE	R	NONE
240	3	3	240	8116F	Simmental	3/8/18	6/6/18	90	B	R	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 2 (Post Perturbation- 21d)	6_6_18	M_bovoculi	2_3_period	NONE	NONE	G1	sample_control	seq_6	Keep	NONE	R	NONE
241	3	3	241	8124F	Simmental	3/9/18	6/6/18	89	H	R	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 2 (Post Perturbation- 21d)	6_6_18	NONE	2_3_period	NONE	NONE	G1	sample_control	seq_6	Keep	NONE	R	NONE
242	3	3	242	8201F	Simmental	3/29/18	6/6/18	69	B	R	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 2 (Post Perturbation- 21d)	6_6_18	M_bovoculi	2_3_period	NONE	NONE	G3	sample_control	seq_6	Keep	NONE	R	NONE
243	3	3	243	8192F	Simmental	3/25/18	6/6/18	73	H	R	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 2 (Post Perturbation- 21d)	6_6_18	M_bovoculi	2_3_period	NONE	NONE	G2	sample_control	seq_6	Out	NONE	R	NONE
244	3	3	244	8204F	Simmental	3/29/18	6/6/18	69	H	R	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 2 (Post Perturbation- 21d)	6_6_18	M_bovoculi	2_3_period	NONE	NONE	G3	sample_control	seq_6	Out	NONE	R	NONE
245	3	3	245	8146F	Simmental	3/11/18	6/6/18	87	H	R	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 2 (Post Perturbation- 21d)	6_6_18	M_bovoculi	2_3_period	NONE	Yes	G1	sample_control	seq_6	Keep	NONE	R	NONE
246	3	3	246	8230F	Simmental	4/14/18	6/6/18	53	H	R	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 2 (Post Perturbation- 21d)	6_6_18	M_bovis_R	2_3_period	NONE	NONE	G4	sample_control	seq_6	Out	NONE	R	NONE
247	3	3	247	8200F	Simmental	3/29/18	6/6/18	69	B	R	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 2 (Post Perturbation- 21d)	6_6_18	M_bovoculi	2_3_period	NONE	NONE	G3	sample_control	seq_6	Out	NONE	R	NONE
